"Pclass","Sex","Embarked","Survived","Title","pp","Total_group_size_FE","IsChild_FE","Have_relatives"
"3","male","S","0","Mr",7.25,2,"0","1"
"1","female","C","1","Mrs",35.64165,2,"0","1"
"3","female","S","1","Miss",7.925,1,"0","0"
"1","female","S","1","Mrs",26.55,2,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","Q","0","Mr",8.4583,1,"0","0"
"1","male","S","0","Mr",25.93125,2,"0","0"
"3","male","S","0","Master",4.215,5,"1","1"
"3","female","S","1","Mrs",3.7111,3,"0","1"
"2","female","C","1","Mrs",15.0354,2,"1","1"
"3","female","S","1","Miss",5.56666666666667,3,"1","1"
"1","female","S","1","Miss",26.55,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",4.46785714285714,7,"0","1"
"3","female","S","0","Miss",7.8542,1,"1","0"
"2","female","S","1","Mrs",16,1,"0","0"
"3","male","Q","0","Master",4.85416666666667,6,"1","1"
"2","male","S","1","Mr",13,1,"0","0"
"3","female","S","0","Mrs",9,2,"0","1"
"3","female","C","1","Mrs",7.225,1,"0","0"
"2","male","S","0","Mr",13,2,"0","0"
"2","male","S","1","Mr",13,1,"0","0"
"3","female","Q","1","Miss",8.0292,1,"0","0"
"1","male","S","1","Mr",35.5,1,"0","0"
"3","female","S","0","Miss",4.215,5,"1","1"
"3","female","S","1","Mrs",4.48392857142857,7,"0","1"
"3","male","C","0","Mr",7.225,1,"0","0"
"1","male","S","0","Mr",43.8333333333333,6,"0","1"
"3","female","Q","1","Miss",7.8792,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","C","0","Other",27.7208,1,"0","0"
"1","female","C","1","Mrs",48.8402666666667,3,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"2","male","S","0","Mr",10.5,1,"0","0"
"1","male","C","0","Mr",41.0854,2,"0","1"
"1","male","S","0","Mr",26,2,"0","1"
"3","male","C","1","Mr",7.2292,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",9,3,"0","1"
"3","female","C","1","Miss",5.62085,2,"1","1"
"3","female","S","0","Mrs",9.475,2,"0","1"
"2","female","S","0","Mrs",10.5,2,"0","1"
"3","male","C","0","Mr",7.8958,1,"0","0"
"2","female","C","1","Miss",10.3948,4,"1","1"
"3","female","Q","1","Miss",7.8792,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","Q","0","Mr",7.75,2,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"3","male","C","0","Mr",7.2264,3,"0","1"
"3","female","S","0","Mrs",8.9,2,"0","1"
"3","male","S","0","Master",5.66964285714286,7,"1","1"
"3","male","S","0","Mr",7.8,1,"0","0"
"1","female","C","1","Mrs",25.5764,3,"0","1"
"2","female","S","1","Mrs",13,2,"0","1"
"1","male","C","0","Mr",30.9896,2,"0","1"
"1","male","S","1","Mr",35.5,1,"0","0"
"2","female","S","1","Miss",10.5,1,"0","0"
"3","male","C","0","Mr",7.2292,1,"0","0"
"2","female","S","1","Miss",6.9375,4,"1","1"
"3","male","S","0","Master",5.8625,8,"1","1"
"3","male","C","0","Mr",7.2292,1,"0","0"
"1","female","C","1","Miss",40,2,"0","0"
"1","male","S","0","Mr",41.7375,2,"0","1"
"3","male","S","0","Master",4.65,6,"1","1"
"1","male","C","0","Mr",27.7208,1,"0","0"
"3","male","C","1","Master",5.08193333333333,3,"1","1"
"2","female","S","1","Mrs",10.5,1,"0","0"
"3","male","S","0","Mr",8.1583,1,"0","0"
"3","female","S","1","Miss",7.925,7,"0","1"
"3","male","S","0","Mr",8.6625,3,"0","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","female","S","0","Miss",5.8625,8,"0","1"
"2","male","S","0","Mr",10.5,7,"0","0"
"3","male","C","0","Mr",7.2271,2,"0","1"
"3","male","S","1","Mr",7.061975,8,"0","0"
"3","male","S","0","Mr",7.65,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"2","male","S","1","Master",9.66666666666667,3,"1","1"
"3","female","S","1","Miss",6.2375,2,"0","0"
"3","male","S","0","Mr",9,1,"0","0"
"3","male","S","1","Mr",9.5,1,"0","0"
"3","female","Q","1","Miss",7.7875,1,"0","0"
"1","male","S","0","Mr",23.55,2,"0","0"
"2","female","S","1","Miss",10.5,1,"0","0"
"3","female","S","1","Mrs",7.925,4,"0","1"
"3","male","S","0","Mr",6.875,5,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","female","S","1","Miss",43.8333333333333,6,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",7.8542,1,"0","0"
"1","male","S","0","Mr",30.5875,2,"0","1"
"3","male","S","0","Mr",5.14375,4,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","male","C","0","Mr",34.6542,1,"0","0"
"1","male","C","1","Mr",31.67915,2,"0","1"
"2","female","S","1","Mrs",11.5,2,"0","1"
"2","male","S","0","Mr",13,2,"0","1"
"3","female","S","0","Miss",7.8958,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","0","Mr",38.64375,2,"0","1"
"3","male","S","0","Mr",8.6542,1,"0","0"
"3","male","S","0","Mr",7.925,3,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","S","1","Miss",7.65,1,"0","0"
"3","male","S","1","Mr",7.775,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","Q","1","Miss",8.05,3,"0","1"
"1","male","S","0","Mr",26,2,"0","0"
"3","female","C","0","Miss",7.2271,2,"1","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",9.825,2,"0","1"
"3","female","C","0","Miss",7.22915,2,"0","0"
"3","male","S","0","Mr",7.925,1,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
"2","male","S","0","Mr",10.5,2,"0","1"
"1","male","C","0","Mr",82.5069333333333,3,"0","1"
"3","female","S","0","Miss",4.46785714285714,7,"1","1"
"2","male","S","0","Mr",10.5,7,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"2","male","C","0","Mr",15.0354,2,"0","1"
"2","female","S","1","Miss",13,1,"0","0"
"1","male","S","0","Mr",38.64375,2,"0","1"
"3","male","C","1","Master",5.62085,2,"1","1"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","1","Mr",7.1417,1,"0","0"
"3","female","C","1","Miss",7.45276666666667,3,"0","1"
"3","male","S","0","Mr",6.975,1,"0","0"
"3","male","C","0","Mr",7.8958,1,"0","0"
"3","male","S","0","Mr",7.05,1,"0","0"
"3","female","S","0","Mrs",7.25,2,"0","1"
"2","female","S","1","Mrs",13,2,"0","1"
"2","male","S","0","Mr",13,1,"0","0"
"2","male","C","0","Mr",15.0458,1,"0","0"
"1","female","S","1","Miss",26.2833,3,"0","1"
"1","male","S","0","Mr",26.55,2,"0","1"
"3","male","S","0","Mr",9.2167,1,"0","0"
"1","male","C","0","Mr",39.6,2,"0","0"
"3","female","C","0","Mrs",5.08193333333333,3,"0","1"
"3","female","S","1","Miss",7.75,1,"0","0"
"3","female","S","1","Mrs",7.925,2,"0","1"
"3","male","Q","0","Mr",6.75,1,"0","0"
"2","male","S","0","Mr",11.5,1,"0","0"
"2","male","S","0","Mr",9.1875,4,"0","1"
"3","male","S","1","Mr",7.7958,1,"0","0"
"3","female","S","0","Miss",6.875,5,"1","1"
"2","male","S","0","Mr",8.66666666666667,3,"0","1"
"2","male","S","0","Other",13,1,"0","0"
"2","male","S","0","Other",12.525,1,"0","0"
"1","female","S","1","Mrs",33.3,2,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",4.83333333333333,3,"0","1"
"3","male","S","0","Mr",7.3125,1,"0","0"
"1","male","C","0","Mr",30.6896,2,"0","1"
"3","female","Q","1","Miss",7.7333,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",8.6625,1,"0","0"
"3","male","S","0","Master",6.32272727272727,11,"1","1"
"3","male","S","0","Mr",8.05,2,"0","1"
"2","female","S","1","Mrs",7.875,2,"0","0"
"3","male","S","0","Mr",7.775,1,"0","0"
"3","male","S","0","Mr",8.6625,1,"0","0"
"3","male","S","0","Master",5.66964285714286,7,"1","1"
"3","male","S","1","Master",6.84166666666667,3,"1","1"
"1","female","S","1","Mrs",27.5,2,"0","1"
"3","female","S","0","Mrs",4.65,6,"0","1"
"1","male","S","0","Mr",25.925,1,"0","0"
"3","male","S","0","Mr",7.061975,8,"0","0"
"1","male","S","0","Mr",33.5,1,"0","0"
"3","male","Q","0","Master",4.85416666666667,6,"1","1"
"3","female","S","1","Miss",3.7111,3,"1","1"
"3","male","S","0","Mr",7.925,1,"0","0"
"1","male","C","0","Mr",30.6958,1,"0","0"
"3","male","S","0","Mr",7.8542,3,"0","1"
"3","male","S","0","Master",5.09334,5,"1","1"
"1","female","C","0","Miss",28.7125,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"3","male","S","0","Mr",0,4,"0","0"
"3","female","S","0","Miss",6.32272727272727,11,"1","1"
"2","male","C","0","Mr",15.05,1,"0","0"
"3","male","S","0","Master",4.48392857142857,7,"1","1"
"2","male","S","1","Master",9.75,4,"1","1"
"3","female","S","1","Miss",7.34166666666667,3,"1","1"
"1","male","S","0","Mr",50,1,"0","0"
"3","female","Q","1","Mrs",7.75,2,"0","1"
"1","male","S","1","Mr",26.55,1,"0","0"
"3","male","Q","0","Mr",7.75,3,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","female","S","1","Mrs",13,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"3","female","S","1","Miss",7.8542,2,"0","1"
"2","male","S","1","Master",8.66666666666667,3,"1","1"
"1","female","C","1","Mrs",27.7208,1,"0","0"
"1","female","C","1","Miss",48.8402666666667,3,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","0","Mr",8.4042,2,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"2","female","S","0","Miss",13,1,"0","0"
"3","male","S","0","Mr",9.5,1,"0","0"
"3","male","S","0","Mr",6.32272727272727,11,"0","1"
"3","male","S","0","Mr",6.4958,1,"0","0"
"3","male","C","0","Mr",7.225,1,"0","0"
"3","male","S","1","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",5.23125,2,"1","1"
"3","male","S","0","Mr",7.925,2,"0","1"
"3","male","C","1","Mr",9.39375,2,"0","0"
"3","female","Q","1","Miss",7.75,1,"0","0"
"1","male","C","1","Mr",31,1,"0","0"
"3","male","S","0","Mr",7.05,1,"0","0"
"2","female","S","1","Miss",10.5,2,"0","0"
"3","male","S","0","Mr",7.25,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"3","male","Q","0","Mr",7.75,2,"0","1"
"1","female","C","1","Miss",37.7583333333333,3,"0","1"
"3","female","S","1","Miss",7.925,1,"0","0"
"2","male","S","0","Mr",13.5,2,"0","1"
"1","female","C","1","Miss",38.14585,2,"0","0"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","male","S","1","Mr",8.05,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","1","Mr",45,2,"0","1"
"3","male","S","0","Mr",9.35,1,"0","0"
"2","male","S","1","Mr",10.5,1,"0","0"
"3","male","S","0","Mr",7.25,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"3","female","S","0","Miss",5.09334,5,"1","1"
"1","female","S","1","Mrs",41.7375,2,"0","1"
"3","male","S","0","Mr",7.775,1,"0","0"
"2","male","S","0","Mr",13.5,1,"0","0"
"3","female","S","1","Miss",4.48392857142857,7,"1","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","female","S","0","Miss",7.55,1,"0","0"
"2","male","S","0","Mr",13,2,"0","1"
"2","female","S","1","Miss",8.75,3,"1","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"2","male","S","0","Mr",12.275,1,"0","0"
"3","female","C","0","Miss",7.2271,2,"0","1"
"3","female","Q","1","Miss",7.75,2,"0","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","male","S","0","Mr",7.125,1,"0","0"
"3","male","C","0","Mr",7.225,1,"0","0"
"1","male","Q","0","Other",30,3,"0","1"
"3","female","S","0","Miss",7.775,1,"0","0"
"2","female","S","1","Mrs",7.25,3,"0","1"
"1","male","S","1","Mr",26.2771,3,"0","1"
"2","male","S","0","Other",13,2,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"3","female","S","0","Mrs",5.23125,3,"0","1"
"1","male","S","0","Mr",26.55,1,"0","0"
"3","male","S","0","Mr",8.05,2,"0","1"
"3","female","S","0","Mrs",6.7375,3,"0","1"
"3","female","C","1","Mrs",5.08193333333333,3,"0","1"
"1","female","C","1","Mrs",39.6,2,"0","0"
"1","female","S","1","Miss",28.8333333333333,3,"0","0"
"1","female","C","1","Miss",128.0823,4,"0","0"
"2","female","S","1","Mrs",13,2,"0","1"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","1","Master",4.48392857142857,7,"1","1"
"1","male","S","0","Mr",26.55,3,"0","1"
"1","male","S","0","Mr",0,1,"0","0"
"3","female","Q","0","Miss",7.75,1,"0","0"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","male","S","0","Mr",5.66964285714286,7,"0","1"
"3","male","S","1","Mr",7.775,2,"0","1"
"1","female","S","1","Mrs",51.1541666666667,3,"0","1"
"1","female","S","1","Miss",33.908325,4,"0","0"
"1","male","S","0","Mr",15.5,2,"0","0"
"3","male","S","1","Mr",0,4,"0","0"
"2","female","S","1","Mrs",9.75,2,"0","1"
"1","male","C","0","Mr",29.7,2,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"1","female","S","1","Miss",25.9861,3,"0","1"
"3","female","S","0","Miss",7.75,1,"0","0"
"2","male","S","0","Mr",0,3,"0","0"
"3","male","Q","0","Master",4.85416666666667,6,"1","1"
"3","female","S","1","Mrs",6.75,3,"0","1"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","0","Mr",7.8542,1,"0","0"
"3","male","S","0","Mr",9.5,1,"0","0"
"3","male","S","1","Mr",8.05,1,"0","0"
"1","male","S","0","Mr",26,1,"0","0"
"3","male","C","0","Mr",8.6625,1,"0","0"
"3","male","S","1","Mr",9.5,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","male","S","1","Mr",13,1,"0","0"
"3","female","Q","1","Miss",7.75,1,"0","0"
"1","female","S","1","Miss",26.2833333333333,3,"0","0"
"1","female","C","1","Mrs",45.5396,2,"0","1"
"2","male","C","0","Mr",12.875,1,"0","0"
"3","female","S","0","Miss",8.85,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","C","0","Mr",27.7208,1,"0","0"
"3","male","C","0","Mr",7.2292,1,"0","0"
"1","female","S","0","Miss",25.2583333333333,6,"1","1"
"1","male","S","1","Mr",30.5,1,"0","0"
"1","female","C","1","Mrs",82.5069333333333,3,"0","1"
"3","female","Q","1","Miss",7.75,1,"0","0"
"3","male","Q","1","Mr",7.75,3,"0","1"
"3","male","S","0","Mr",0,4,"0","0"
"2","female","Q","1","Miss",12.35,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","male","S","1","Master",25.2583333333333,6,"1","1"
"1","female","C","1","Miss",27.720825,4,"0","0"
"1","female","C","1","Mrs",36.3,3,"0","1"
"2","male","C","0","Mr",12,2,"0","1"
"1","female","C","1","Miss",28.4646,2,"0","0"
"1","female","C","1","Miss",27.7194333333333,3,"0","0"
"1","female","C","1","Miss",37.4821428571429,7,"0","1"
"2","female","S","0","Mrs",13,3,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","male","S","0","Mr",8.75,3,"0","1"
"3","female","S","1","Miss",7.8542,1,"0","0"
"2","female","S","1","Mrs",13,2,"0","1"
"2","male","S","0","Other",14,1,"0","0"
"1","female","S","1","Miss",41.216675,4,"0","1"
"1","female","C","1","Mrs",26.9,5,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","female","Q","1","Miss",12.35,1,"0","0"
"2","female","S","1","Mrs",9.66666666666667,3,"0","1"
"3","male","S","0","Mr",6.32272727272727,11,"0","1"
"1","female","C","1","Miss",33.908325,4,"0","0"
"3","male","S","0","Mr",6.2375,1,"0","0"
"2","female","S","1","Mrs",13,1,"0","0"
"3","female","S","1","Mrs",6.84166666666667,3,"0","1"
"1","female","C","1","Miss",28.9896,2,"0","1"
"3","female","Q","1","Miss",7.75,3,"0","1"
"1","male","S","0","Mr",28.5,1,"0","0"
"1","male","S","0","Mr",51.1541666666667,3,"0","1"
"3","male","S","0","Mr",9,3,"0","1"
"1","female","S","1","Mrs",66.825,2,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","0","Mr",33.3,2,"0","1"
"1","female","C","1","Miss",26.9,5,"0","0"
"3","male","S","1","Mr",8.05,1,"0","0"
"1","male","S","0","Mr",35.5,1,"0","0"
"2","male","S","1","Master",8.66666666666667,3,"1","1"
"1","female","S","1","Miss",43.8333333333333,6,"0","1"
"2","male","S","0","Mr",13,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"2","female","S","1","Miss",13,1,"0","0"
"2","female","S","1","Miss",13,1,"0","0"
"3","female","S","1","Mrs",8.05,2,"0","1"
"3","male","S","1","Master",5.3,3,"1","1"
"3","male","S","0","Mr",8.6625,1,"0","0"
"3","male","S","0","Mr",9.225,1,"0","0"
"1","male","S","0","Mr",35,1,"0","0"
"3","male","C","0","Mr",7.2292,3,"0","1"
"3","male","S","0","Mr",8.9,2,"0","1"
"3","male","C","0","Mr",7.225,1,"0","0"
"3","male","S","0","Mr",9.5,1,"0","0"
"1","female","S","1","Miss",27.5,2,"0","1"
"2","female","S","0","Miss",13,1,"0","0"
"3","female","Q","1","Miss",7.8792,1,"0","0"
"3","female","Q","1","Miss",7.8792,1,"0","0"
"3","male","S","0","Mr",4.65,6,"0","1"
"2","male","C","0","Mr",13.8604,2,"0","1"
"3","female","C","0","Mrs",7.2271,2,"0","1"
"3","male","S","0","Mr",7.05,1,"0","0"
"3","male","Q","0","Mr",7.75,2,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"1","female","C","1","Mrs",37.625,2,"0","1"
"3","female","C","1","Mrs",7.2292,1,"0","0"
"3","female","Q","1","Miss",7.75,1,"0","0"
"1","female","C","1","Other",34.65,2,"0","0"
"1","male","C","1","Mr",27.72085,2,"0","1"
"3","male","S","0","Mr",6.4958,2,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","male","C","0","Mr",33.908325,4,"0","0"
"3","female","S","0","Miss",4.215,5,"1","1"
"1","female","C","1","Mrs",41.0854,2,"0","1"
"3","female","S","1","Miss",7.25,1,"0","0"
"1","male","C","0","Mr",42.3,5,"0","1"
"3","male","C","0","Mr",4.0125,1,"0","0"
"3","male","S","0","Mr",7.775,1,"0","0"
"1","female","C","1","Miss",45.505,5,"0","0"
"3","female","C","1","Miss",5.24723333333333,3,"1","1"
"3","male","S","0","Mr",7.925,1,"0","0"
"1","female","S","1","Mrs",26,2,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","male","S","0","Mr",10.5,7,"0","0"
"3","male","S","0","Master",5.8625,8,"1","1"
"2","female","S","1","Miss",13,1,"0","0"
"3","male","Q","0","Mr",7.7292,1,"0","0"
"2","female","C","1","Miss",12,1,"0","0"
"1","male","S","1","Mr",30,4,"0","1"
"3","male","S","1","Mr",7.7958,1,"0","0"
"3","male","S","0","Mr",7.925,3,"0","1"
"1","female","C","1","Miss",37.7583333333333,3,"0","1"
"3","female","S","1","Mrs",5.56666666666667,3,"0","1"
"3","male","S","0","Mr",7.7958,1,"0","0"
"3","female","S","0","Miss",7.8542,1,"0","0"
"2","male","S","0","Mr",13,2,"0","0"
"2","male","S","0","Other",10.5,1,"0","0"
"2","female","S","1","Mrs",12.65,1,"0","0"
"3","male","S","1","Mr",7.925,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",9.825,2,"0","1"
"3","male","S","0","Mr",7.925,2,"0","1"
"3","female","S","0","Miss",8.6625,1,"0","0"
"2","male","S","0","Mr",10.5,2,"0","1"
"3","male","S","0","Mr",7.75,1,"0","0"
"2","male","S","1","Master",6.25,3,"1","1"
"3","male","S","0","Mr",7.775,1,"0","0"
"3","female","S","0","Miss",5.09334,5,"1","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","male","Q","0","Mr",6.8583,1,"0","0"
"1","female","Q","1","Miss",30,3,"0","1"
"2","male","S","0","Mr",0,3,"0","0"
"3","male","S","1","Mr",7.925,1,"0","0"
"3","female","S","0","Mrs",8.05,1,"0","0"
"2","female","S","1","Mrs",10.8333333333333,3,"0","1"
"2","female","S","1","Miss",13,3,"0","1"
"2","male","S","0","Mr",13,1,"0","0"
"3","female","S","0","Miss",8.05,3,"1","1"
"3","male","C","0","Mr",7.8958,1,"0","0"
"3","male","Q","0","Mr",7.7333,1,"0","0"
"3","male","S","0","Mr",7.875,1,"0","0"
"3","female","S","0","Mrs",4.8,3,"0","1"
"3","male","S","0","Mr",6.7375,3,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"2","female","S","1","Mrs",13,2,"0","1"
"2","female","S","1","Miss",13,2,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","1","Mr",8.05,1,"0","0"
"1","male","S","1","Mr",26.55,1,"0","0"
"3","female","S","1","Mrs",8.05,2,"0","1"
"2","female","S","1","Mrs",13,2,"0","1"
"3","male","S","0","Mr",7.125,1,"0","0"
"1","male","S","0","Mr",27.95,2,"0","1"
"1","female","S","1","Miss",30,4,"1","1"
"3","female","S","0","Miss",6.875,5,"0","1"
"2","female","S","1","Mrs",6.25,6,"0","1"
"1","male","S","0","Mr",43.8333333333333,6,"0","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"2","female","S","1","Mrs",8.75,3,"0","1"
